subscription_id,user_id,plan_type,start_date,cancel_date
1,43,monthly,2023-07-15,NULL
2,52,monthly,2024-03-03,2024-03-10
3,59,annual,2023-08-15,NULL
4,184,monthly,2024-04-06,2024-04-06
5,300,monthly,2024-06-17,NULL
6,313,monthly,2023-12-30,NULL
7,321,monthly,2023-10-23,NULL
8,394,annual,2023-02-16,2023-02-27
9,400,monthly,2024-03-24,2024-05-04
10,470,monthly,2024-06-24,2024-07-19
11,477,monthly,2023-11-19,NULL
12,491,monthly,2024-06-09,NULL
13,617,annual,2023-07-26,2023-08-31
14,624,annual,2023-09-11,2023-10-04
15,637,annual,2023-09-09,NULL
16,642,monthly,2023-10-25,NULL
17,890,monthly,2024-01-18,NULL
18,895,monthly,2023-08-07,2023-09-07
19,933,annual,2023-07-08,2023-07-21
20,1002,annual,2024-04-14,2024-05-06
21,1077,annual,2024-06-04,2024-06-16
22,1119,annual,2024-06-18,2024-07-11
23,1157,monthly,2023-11-15,NULL
24,1175,monthly,2023-11-06,NULL
25,1185,annual,2024-03-17,2024-05-01
26,1245,monthly,2023-06-04,NULL
27,1256,annual,2024-05-05,NULL
28,1286,annual,2023-06-14,NULL
29,1296,annual,2023-09-05,NULL
30,1432,monthly,2023-11-21,NULL
31,1694,monthly,2024-04-08,2024-05-18
32,1826,monthly,2023-07-15,2023-07-24
33,1837,monthly,2024-01-27,NULL
34,2012,annual,2024-03-12,2024-04-01
35,2044,annual,2023-05-17,NULL
36,2069,annual,2023-06-30,NULL
37,2125,annual,2023-10-22,2023-11-27
38,2132,annual,2023-07-01,2023-08-23
39,2180,monthly,2023-06-14,NULL
40,2199,annual,2024-05-24,NULL
41,2234,annual,2023-10-16,NULL
42,2359,monthly,2023-09-30,NULL
43,2486,monthly,2023-11-29,NULL
44,2508,monthly,2024-03-31,2024-05-04
45,2657,monthly,2023-01-08,NULL
46,2685,annual,2024-03-21,2024-04-05
47,2712,annual,2023-01-24,NULL
48,2775,annual,2023-03-11,NULL
49,2807,annual,2024-03-09,NULL
50,2828,monthly,2024-05-20,NULL
51,2968,annual,2023-06-06,NULL
52,3042,monthly,2023-10-30,NULL
53,3066,monthly,2024-02-10,2024-03-14
54,3086,annual,2024-06-18,NULL
55,3120,monthly,2023-03-11,2023-04-29
56,3204,monthly,2023-01-09,NULL
57,3259,annual,2024-01-03,NULL
58,3276,monthly,2024-01-22,2024-02-21
59,3311,monthly,2023-08-01,NULL
60,3409,monthly,2023-02-16,NULL
61,3440,monthly,2023-08-03,2023-09-22
62,3525,monthly,2023-11-16,NULL
63,3569,monthly,2023-01-27,NULL
64,3589,monthly,2024-05-02,NULL
65,3681,annual,2023-05-30,NULL
66,3692,monthly,2023-04-20,NULL
67,3803,monthly,2023-12-21,2023-12-29
68,3867,annual,2024-03-04,NULL
69,3909,monthly,2023-06-07,NULL
70,3947,annual,2023-01-03,NULL
71,3960,monthly,2023-12-16,2024-01-01
72,4082,annual,2023-03-21,NULL
73,4083,monthly,2023-05-11,NULL
74,4111,annual,2024-05-16,NULL
75,4188,annual,2023-12-12,NULL
76,4202,annual,2023-05-04,NULL
77,4242,monthly,2023-04-27,2023-06-11
78,4271,annual,2023-09-03,NULL
79,4304,monthly,2023-09-15,NULL
80,4381,annual,2024-01-02,NULL
81,4447,annual,2023-10-03,NULL
82,4508,annual,2023-02-14,2023-03-07
83,4530,annual,2024-02-22,2024-04-10
84,4546,monthly,2023-01-21,NULL
85,4593,annual,2023-12-25,2024-01-17
86,4607,annual,2024-06-03,NULL
87,4608,monthly,2023-01-14,2023-02-22
88,4630,monthly,2023-10-31,NULL
89,4671,annual,2023-07-13,NULL
90,4683,annual,2024-03-25,NULL
91,4746,annual,2024-02-14,2024-03-23
92,4752,monthly,2023-08-17,2023-09-22
93,4814,monthly,2024-02-25,NULL
94,4878,annual,2023-04-14,NULL
95,4906,monthly,2023-12-12,NULL
96,4910,annual,2023-01-22,NULL
97,5069,annual,2023-04-05,NULL
98,5127,monthly,2023-08-14,NULL
99,5398,monthly,2024-01-11,NULL
100,5401,monthly,2023-08-14,NULL
101,5474,monthly,2023-02-19,2023-03-07
102,5475,monthly,2024-06-03,NULL
103,5484,monthly,2024-04-01,NULL
104,5511,annual,2023-10-22,NULL
105,5556,annual,2024-04-22,2024-05-02
106,5604,annual,2024-05-12,NULL
107,6032,monthly,2024-04-17,NULL
108,6043,annual,2024-02-14,NULL
109,6113,monthly,2023-10-22,NULL
110,6139,monthly,2023-01-17,NULL
111,6165,monthly,2023-04-19,2023-06-14
112,6185,monthly,2024-06-10,2024-06-23
113,6251,monthly,2023-02-20,NULL
114,6335,annual,2023-07-10,2023-07-15
115,6340,monthly,2023-06-23,NULL
116,6343,monthly,2023-10-26,2023-11-02
117,6429,annual,2023-07-15,NULL
118,6531,monthly,2024-01-01,2024-01-16
119,6576,monthly,2023-02-04,NULL
120,6597,monthly,2023-02-25,2023-04-16
121,6600,monthly,2023-08-27,2023-10-07
122,6754,monthly,2023-07-06,2023-08-08
123,6761,monthly,2023-09-20,2023-10-25
124,6783,annual,2024-01-13,NULL
125,6837,monthly,2024-03-01,2024-03-08
126,6869,monthly,2023-10-16,NULL
127,6897,annual,2023-12-02,NULL
128,7067,annual,2024-02-28,NULL
129,7102,annual,2023-10-02,2023-11-12
130,7107,monthly,2024-01-31,NULL
131,7114,monthly,2023-11-21,NULL
132,7222,monthly,2024-03-17,2024-04-06
133,7284,monthly,2023-05-03,NULL
134,7338,annual,2023-08-11,2023-09-29
135,7364,monthly,2023-08-24,2023-10-07
136,7433,monthly,2024-01-25,2024-02-27
137,7563,monthly,2024-02-22,2024-02-28
138,7606,annual,2023-08-09,2023-08-20
139,7668,monthly,2024-02-16,NULL
140,7682,monthly,2024-01-16,NULL
141,7882,annual,2023-04-10,2023-04-30
142,7885,annual,2024-06-14,NULL
143,7890,monthly,2023-04-17,2023-05-30
144,7897,monthly,2024-04-20,NULL
145,7924,monthly,2023-05-15,2023-06-17
146,7951,annual,2023-12-30,2024-02-22
147,7988,monthly,2024-04-17,2024-06-05
148,7995,annual,2023-09-18,NULL
149,7999,annual,2024-05-26,NULL
150,8023,annual,2023-12-24,NULL
151,8071,monthly,2023-08-05,NULL
152,8152,monthly,2024-02-13,2024-03-14
153,8204,monthly,2023-11-22,2023-12-07
154,8562,monthly,2024-02-24,2024-03-20
155,8766,monthly,2023-11-07,NULL
156,8817,monthly,2023-04-24,NULL
157,8852,annual,2024-03-04,NULL
158,8874,annual,2023-05-24,2023-07-13
159,8936,annual,2024-05-28,2024-07-16
160,9007,annual,2024-03-17,NULL
161,9032,annual,2023-06-07,2023-06-24
162,9219,annual,2023-10-10,2023-12-04
163,9258,annual,2023-10-02,2023-11-22
164,9400,annual,2023-11-04,NULL
165,9410,annual,2023-07-21,NULL
166,9521,monthly,2023-02-19,NULL
167,9575,annual,2024-05-05,NULL
168,9616,monthly,2024-03-07,NULL
169,9705,monthly,2024-03-12,NULL
170,9724,monthly,2024-01-31,NULL
171,9772,monthly,2023-12-05,NULL
172,9808,annual,2023-06-30,2023-08-01
173,9811,annual,2024-04-20,2024-05-01
174,9873,annual,2023-07-21,NULL
175,9949,annual,2024-01-10,NULL
176,9982,annual,2023-03-27,NULL
177,10087,annual,2023-09-04,NULL
178,10138,annual,2023-12-21,2024-02-01
179,10139,annual,2024-02-18,NULL
180,10167,monthly,2023-11-11,NULL
181,10217,annual,2024-01-30,2024-02-29
182,10243,monthly,2023-06-29,2023-07-03
183,10269,annual,2023-01-10,2023-02-21
184,10290,annual,2023-07-28,2023-08-04
185,10370,monthly,2023-07-12,NULL
186,10392,annual,2023-06-05,NULL
187,10473,annual,2023-01-30,NULL
188,10492,monthly,2023-07-24,2023-07-26
189,10574,annual,2023-01-16,NULL
190,10598,annual,2023-09-16,2023-10-14
191,10601,monthly,2023-11-26,NULL
192,10630,annual,2023-08-06,NULL
193,10647,annual,2024-03-18,NULL
194,10746,annual,2023-03-12,2023-04-21
195,10856,annual,2023-08-21,2023-08-19
196,10869,annual,2024-04-18,2024-05-05
197,10870,annual,2024-04-04,2024-05-11
198,10888,monthly,2023-07-02,NULL
199,10979,annual,2024-03-04,NULL
200,10993,monthly,2023-06-07,NULL
201,11064,monthly,2023-09-07,NULL
202,11170,annual,2023-04-13,NULL
203,11209,annual,2023-01-22,NULL
204,11213,monthly,2024-04-23,2024-04-27
205,11232,monthly,2023-09-04,NULL
206,11279,annual,2023-04-06,NULL
207,11282,monthly,2023-02-23,NULL
208,11354,annual,2023-06-07,2023-07-02
209,11433,annual,2024-05-10,NULL
210,11481,monthly,2023-07-30,2023-08-13
211,11519,annual,2023-06-21,NULL
212,11618,annual,2023-10-13,NULL
213,11644,annual,2024-02-08,2024-03-06
214,11962,annual,2023-08-19,NULL
215,12037,monthly,2023-09-07,NULL
216,12063,annual,2023-04-26,NULL
217,12124,monthly,2023-08-18,2023-08-31
218,12152,monthly,2023-12-08,NULL
219,12346,annual,2023-01-25,NULL
220,12435,annual,2023-12-06,NULL
221,12467,annual,2023-07-29,NULL
222,12496,annual,2023-03-15,2023-05-06
223,12511,monthly,2024-03-21,NULL
224,12527,annual,2023-10-02,2023-10-08
225,12536,annual,2023-09-19,NULL
226,12622,monthly,2023-02-02,NULL
227,12650,monthly,2023-05-04,2023-05-07
228,12702,annual,2023-11-29,2024-01-20
229,12791,monthly,2023-04-16,2023-05-20
230,12934,monthly,2023-01-21,2023-02-11
231,12973,annual,2023-11-17,2023-11-14
232,12988,monthly,2024-04-24,NULL
233,13021,annual,2023-01-17,NULL
234,13157,monthly,2024-06-18,NULL
235,13240,annual,2024-06-10,NULL
236,13285,annual,2024-02-02,NULL
237,13294,annual,2023-12-16,2024-01-01
238,13302,annual,2023-12-29,NULL
239,13555,annual,2024-04-30,2024-06-04
240,13604,annual,2023-07-04,2023-07-11
241,13629,monthly,2023-04-26,2023-04-27
242,13658,monthly,2023-05-18,2023-05-30
243,13661,monthly,2024-01-05,2024-02-13
244,13778,annual,2023-11-25,NULL
245,13867,annual,2023-04-08,2023-05-25
246,13910,monthly,2023-08-15,2023-09-21
247,13950,monthly,2024-03-14,2024-04-03
248,13968,annual,2023-05-06,NULL
249,13973,annual,2024-05-06,2024-06-13
250,13995,annual,2023-05-09,NULL
251,14108,annual,2024-02-13,2024-02-14
252,14109,monthly,2023-01-25,NULL
253,14117,annual,2024-06-09,NULL
254,14135,annual,2023-12-27,NULL
255,14145,annual,2024-04-10,NULL
256,14237,monthly,2023-12-15,NULL
257,14283,annual,2024-02-02,2024-02-18
258,14440,annual,2024-06-26,NULL
259,14464,annual,2023-02-22,NULL
260,14496,annual,2023-03-31,2023-04-28
261,14599,monthly,2023-08-25,2023-09-28
262,14612,annual,2023-01-24,NULL
263,14653,monthly,2023-10-05,2023-10-25
264,14697,monthly,2023-01-30,NULL
265,14707,annual,2023-12-21,NULL
266,14756,annual,2023-09-30,NULL
267,14765,monthly,2024-05-29,2024-06-01
268,14880,monthly,2024-02-04,NULL
269,14911,monthly,2023-07-01,NULL
270,14928,annual,2023-01-19,NULL
